,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,44.236,283.251,0.0,0.0,0.0
N10,153.813,891.673,0.0,0.0,0.0
N16,741.739,452.978,0.0,0.0,0.0
N24,271.503,795.042,0.0,0.0,0.0
