,inf,500,200,100
0.0,-0.0,-0.0,-0.0,-0.0
200.0,39.23317242484919,38.99448223591893,35.96797215341457,28.973140539365836
400.0,78.46634484969837,73.32658341187417,57.94628107873167,40.808954829060994
600.0,117.69951727454733,105.97136044147886,70.21542647136255,52.06543978136017
800.0,156.93268969939675,132.1696938297195,81.61790965812199,62.14645135070309
1000.0,196.1658621242455,144.86570269682775,93.0203928449375,71.2114736258873
1200.0,235.39903454909467,157.56171156393805,104.13087956272034,80.23244154204178
1400.0,274.6322069739439,169.83732458489754,114.4575319664292,88.9279651349186
1600.0,313.8653793987935,181.23980777174512,124.29290270140618,97.36177699180743
1800.0,353.0985518236426,192.64229095859625,133.3602429759659,104.5569408749235
2000.0,392.331724248491,204.04477414535577,142.4229472517746,111.07259899961672
