,inf,500,200,100
0.0,-0.0,-0.0,-0.0,-0.0
200.0,31.56133601411861,31.561336014120094,31.561336009187567,24.404840008524538
400.0,60.338940183308246,60.33894018331184,42.68397181801974,32.02012712605472
600.0,89.11654435249939,73.77009780839235,50.269591306850096,37.18376075002787
800.0,117.89414852169061,82.61445772942976,56.346754364726095,42.15379038236179
1000.0,139.60846215116575,91.45881765137189,61.864730193387004,46.77292873536757
1200.0,166.88623136242995,96.14195667869792,67.03713346823767,50.84311111973717
1400.0,193.09538053053683,98.89922450402628,71.28193109088674,53.50718284444318
1600.0,211.90351286973998,104.3415563675394,71.28193109188861,53.405500095423506
1800.0,211.283563134421,108.97326362861159,74.3525009729031,53.50718284444315
2000.0,211.28356313442058,113.60497088968688,77.32151725779283,53.50718284444314
