,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,335.46596210484,0.0,0.0,0.0,0.0
N10,401.2288576419995,0.0,0.0,0.0,0.0
N16,605.1690286731402,0.0,0.0,0.0,0.0
N24,0.0,0.0,0.0,0.0,0.0
