,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,0.0,0.0,0.0,0.0,0.0
N10,0.0,0.0,0.0,0.0,0.0
N16,0.0,0.0,0.0,0.0,140.08943499999967
N24,0.0,0.0,0.0,0.0,0.0
