,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,0.0,0.0,0.0,0.0,0.0
N10,296.8280112189589,0.0,0.0,0.0,0.0
N16,198.3340240840716,0.0,0.0,0.0,0.0
N24,0.0,0.0,0.0,0.0,0.0
