,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,1186.775044960312,0.0,0.0,0.0,0.0
N10,1720.9741013716716,0.0,0.0,0.0,0.0
N16,429.2099773878379,0.0,0.0,0.0,0.0
N24,383.92316799034427,0.0,0.0,0.0,0.0
