,inf,500,200,100
0.0,0.0,0.0,0.0,0.0
200.0,26.314627565027465,26.314627565027465,26.38396929393857,20.37721125976851
400.0,50.591914013131245,41.970154871711955,36.825906366328724,28.208048356621113
600.0,32.01877226857478,49.639104023246425,44.32561284978645,33.21888677135966
800.0,-5.0767365810232405,52.268019383074545,49.29248208777331,39.55937559347716
1000.0,-23.52610956955678,52.66666116062112,52.887640664154276,44.0295602489758
1200.0,-72.56770677838618,47.28760154322367,57.39279504032692,48.57071673794903
1400.0,-94.68819018498576,37.56185753610421,63.41098362713754,50.61730533413791
1600.0,-110.0911293111232,23.031003840149992,63.41098362713754,50.55614291003258
1800.0,-110.49026200349094,16.009823695301122,57.412523588343134,50.61730533413791
2000.0,-110.49026200349094,6.398464601020606,42.36952779196716,50.61730533413791
