,inf,500,200,100
0.0,0.0,0.0,0.0,0.0
200.0,14.90236866250358,15.89240558424589,25.89423021969182,19.791353568134518
400.0,-9.672494041869868,29.668020296735506,31.208471616990025,20.517015824442645
600.0,-41.26359292296148,45.34058867724323,30.862832522487047,19.668150503203485
800.0,-65.38413745506915,24.894402593354386,28.104213756669708,26.59675753090528
1000.0,-88.07422622292455,19.597437620594576,23.720325819700136,31.224012557972486
1200.0,-108.82224065634733,12.320009937954495,21.501045069933966,30.52071681300538
1400.0,-129.4202182919613,3.4409687823844024,25.742141724121637,31.02903492673272
1600.0,-150.86333280843934,-6.965564938582759,31.558639268058073,35.30114199766183
1800.0,-171.60401690133503,-19.227347370803244,29.66816793369327,31.327819525264488
2000.0,-192.2890181303452,-33.72595601803167,22.176737646510503,30.231364315028372
