,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,1513.0529577598918,0.0,0.0,0.0,0.0
N10,469.31585616128956,0.0,0.0,0.0,0.0
N16,0.0,0.0,0.0,0.0,0.0
N24,0.0,0.0,0.0,0.0,0.0
