,Solar,Offshore Wind,Onshore Wind,Gas,Nuclear
N1,1264.113,0.0,0.0,0.0,0.0
N10,1179.013,0.0,0.0,0.0,0.0
N16,0.0,0.0,0.0,0.0,0.0
N24,188.452,0.0,0.0,0.0,0.0
